"id (S)","location (S)","isCapital (BOOL)"
"21c5a957-a935-4239-a235-8cb6da2233f3","city#earth#asia#kuwait#kuwait city","true"
"5d332257-34b5-4a21-abfe-173b5a588aa6","city#earth#africa#senegal#dakar","true"
"0c79ba7c-9fd7-4a86-835c-5a39231c6d82","city#earth#europe#san marino#san marino","true"
"bab8847d-e9d0-47b0-93ab-2ddae15465a1","city#earth#africa#sierra leone#freetown","true"
"86426cc2-4d12-4c87-8821-2e369248920b","city#earth#africa#seychelles#victoria","true"
"e09c6ce3-73e5-4fb4-aec8-0d67b3267ff4","city#earth#asia#kazakhstan#astana","true"
"d9055a9c-1872-46d9-9c07-273155a1be75","city#earth#north america#cayman islands#george town","true"
"a9d9e3a1-4285-48ed-8a45-2134eda662aa","city#earth#asia#singapore#singapur","true"
"65e3c892-cb4e-4bc1-a72e-1ee8664040f8","city#earth#europe#sweden#stockholm","true"
"2614ca7b-83f7-4dcb-9119-b6340a574f20","city#earth#africa#sudan#khartoum","true"
"d1b07ef1-8bca-4b7f-bb61-f4f6594d87dc","city#earth#north america#dominican republic#santo domingo","true"
"645ec67f-e2d0-4c40-b347-2bb97c4b8aee","city#earth#north america#dominica#roseau","true"
"6a823a7e-d6c3-4e9c-b0fd-18db4f864297","city#earth#africa#djibouti#djibouti","true"
"047c9cae-388b-4601-966a-84ba6581d185","city#earth#europe#denmark#copenhagen","true"
"e995b7a5-8b1f-4906-9439-7d992d1e64fc","city#earth#north america#british virgin islands#road town","true"
"245e798e-d5be-4f48-9426-49e0053aa3f6","city#earth#europe#germany#berlin","true"
"4ebd1474-5e10-443c-aec8-18bccf0ad539","city#earth#asia#yemen#sanaa","true"
"d7f0c710-a607-4cd5-8f00-24ae074af350","city#earth#africa#algeria#algiers","true"
"3aaf634f-9cb6-4ca2-95ee-ac24d657fcdb","city#earth#north america#united states#washington","true"
"ba392a91-9022-4897-ae00-1ead2bb6d924","city#earth#south america#uruguay#montevideo","true"
"0a600c86-ea7f-4785-b93d-800bb9413c2e","city#earth#africa#mayotte#mamoudzou","true"
"8e75b3ce-f69f-4ab2-91f8-db8203871056","city#earth#oceania#united states minor outlying islands#","true"
"ef3ebfcb-848c-405d-891f-39605b8e8fdb","city#earth#asia#lebanon#beirut","true"
"1d0a1ddc-9489-4ec1-903d-bae9d5bed8e8","city#earth#north america#saint lucia#castries","true"
"c67c03d8-96e3-41e5-8cfb-50eb5bc9fb47","city#earth#asia#laos#vientiane","true"
"02ea4368-be33-4b8f-b792-df2972aa73a3","city#earth#oceania#tuvalu#funafuti","true"
"e75871f7-9ca9-44cf-991e-66bdd849f679","city#earth#asia#taiwan#taipei","true"
"acbd7dce-1467-435e-af96-35a88c031ae9","city#earth#north america#trinidad and tobago#port of spain","true"
"5049182f-dbbb-47e5-9ee6-401df748a15c","city#earth#asia#turkey#ankara","true"
"16cf8158-4620-485e-a312-460568644306","city#earth#asia#sri lanka#colombo","true"
"e001a7a6-05d1-497b-b754-f7a8a5d5a3b4","city#earth#europe#liechtenstein#vaduz","true"
"0f621afc-b6ee-497c-815a-ed017cb75d7d","city#earth#europe#latvia#riga","true"
"6cb19aa2-87ee-4655-b4fb-9c449c48ae21","city#earth#oceania#tonga#nuku'alofa","true"
"aa6ff6c6-f9fd-4ede-9900-26fe8d7a0f4a","city#earth#europe#lithuania#vilnius","true"
"83cc75c1-e0b2-402f-813f-fd135e8e2072","city#earth#europe#luxembourg#luxembourg","true"
"6cbbeec6-f1c1-4b59-aa63-fefa37c6514b","city#earth#africa#liberia#monrovia","true"
